# packages in environment at /nfs/esnitkin/bin_group/Mambaforge/envs/snakemake-tutorial:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       1_gnu    conda-forge
alsa-lib                  1.2.3                h516909a_0    conda-forge
amply                     0.1.4                      py_0    conda-forge
appdirs                   1.4.4              pyh9f0ad1d_0    conda-forge
atk                       2.36.0               ha770c72_4    conda-forge
atk-1.0                   2.36.0               h3371d22_4    conda-forge
attrs                     21.2.0             pyhd8ed1ab_0    conda-forge
bcftools                  1.9                  h68d8f2e_9    bioconda
blast                     2.5.0                hc0b0e79_3    bioconda
bmfilter                  3.101                hc9558a2_3    bioconda
bmtagger                  3.101                h470a237_4    bioconda
bmtool                    3.101                he1b5a44_3    bioconda
boost                     1.57.0                        4  
bowtie2                   2.4.4            py38h72fc82f_0    bioconda
brotlipy                  0.7.0           py38h497a2fe_1001    conda-forge
bwa                       0.7.17               h5bf99c6_8    bioconda
bzip2                     1.0.8                h7f98852_4    conda-forge
c-ares                    1.17.1               h7f98852_1    conda-forge
ca-certificates           2021.7.5             h06a4308_1  
cairo                     1.16.0            h9f066cc_1006    conda-forge
certifi                   2021.5.30        py38h06a4308_0  
cffi                      1.14.6           py38h7f8727e_0  
chardet                   4.0.0            py38h578d9bd_1    conda-forge
coincbc                   2.10.5               hcee13e7_1    conda-forge
configargparse            1.5.1              pyhd8ed1ab_0    conda-forge
connection_pool           0.0.3              pyhd3deb0d_0    conda-forge
cryptography              3.4.7            py38ha5dfef3_0    conda-forge
curl                      7.76.1               h979ede3_1    conda-forge
cycler                    0.10.0                     py_2    conda-forge
datrie                    0.8.2            py38h497a2fe_2    conda-forge
dbus                      1.13.18              hb2f20db_0  
decorator                 4.4.2                      py_0    conda-forge
docutils                  0.17.1           py38h578d9bd_0    conda-forge
expat                     2.4.1                h9c3ff4c_0    conda-forge
extract_fullseq           3.101                         3    bioconda
fastqc                    0.11.9               hdfd78af_1    bioconda
filelock                  3.0.12             pyh9f0ad1d_0    conda-forge
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 hab24e00_0    conda-forge
fontconfig                2.13.1            hba837de_1005    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                             0    conda-forge
freebayes                 1.3.2            py38h40864fe_2    bioconda
freetype                  2.10.4               h0708190_1    conda-forge
fribidi                   1.0.10               h36c2ea0_0    conda-forge
gdk-pixbuf                2.42.2               h19a9c64_1    conda-forge
gettext                   0.21.0               hf68c758_0  
giflib                    5.2.1                h36c2ea0_2    conda-forge
gitdb                     4.0.7              pyhd8ed1ab_0    conda-forge
